Author/Paper,Powder Material,Substrate Material,Spot Size (mm),Power (W),Mass Flowrate (g/min),Travel Velocity (mm/min),Height (mm),Width (mm),Contact Angle (deg),Aspect Ratio (H/W)
Nabhani,Ti-6Al-4V,Ti-6Al-4V,2,250,36,120,0.64,1.7,145.05,0.376
Nabhani,Ti-6Al-4V,Ti-6Al-4V,2,250,36,180,0.33,1.68,143.88,0.196
Nabhani,Ti-6Al-4V,Ti-6Al-4V,2,250,36,240,0.25,,143.89,
Nabhani,Ti-6Al-4V,Ti-6Al-4V,2,300,24,120,0.74,1.86,,0.398
Nabhani,Ti-6Al-4V,Ti-6Al-4V,2,300,24,180,,1.8,131.87,
Nabhani,Ti-6Al-4V,Ti-6Al-4V,2,300,24,240,0.3,1.7,133.79,0.176
Nabhani,Ti-6Al-4V,Ti-6Al-4V,2,300,30,120,0.79,1.99,136.03,0.397
Nabhani,Ti-6Al-4V,Ti-6Al-4V,2,300,30,180,0.4,1.82,134.86,0.22
Nabhani,Ti-6Al-4V,Ti-6Al-4V,2,300,30,240,,1.69,129.98,
Nabhani,Ti-6Al-4V,Ti-6Al-4V,2,300,36,120,0.81,1.89,130.94,0.429
Nabhani,Ti-6Al-4V,Ti-6Al-4V,2,300,36,180,0.52,1.89,129.03,0.275
Nabhani,Ti-6Al-4V,Ti-6Al-4V,2,300,36,240,0.2,1.6,125.1,0.125
Juhasz,Inconel 625,Steel,2.1,1050,15.1887,600,0.762,2.14,,0.356
